                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4741,                 3.5132,                 1.4706,                0.51652,                0.31148,                0.35466,                0.25362,                  1.336,                 2.5448,                 1.3303,             0.00065041,             0.00065041,             0.00065041
                      2,                  1.515,                 1.8943,                 1.4888,                0.52778,                0.31148,                0.37936,                0.19408,                 1.6486,                 14.052,                 1.7735,              0.0012301,              0.0012301,              0.0012301
                      3,                 1.5459,                 1.7781,                 1.5237,                0.07804,                0.14754,                0.03417,                0.00684,                 3.5323,                 8.1309,                 5.0777,              0.0017219,              0.0017219,              0.0017219
                      4,                  1.573,                 1.7568,                 1.5719,                0.40396,                0.21311,                0.20902,                0.12453,                 2.3647,                 3.2639,                 2.1945,               0.001604,               0.001604,               0.001604
                      5,                 1.4956,                   1.66,                 1.5356,                0.63533,                0.51417,                0.58762,                0.35895,                 1.3609,                 3.1394,                 1.4945,               0.001472,               0.001472,               0.001472
                      6,                 1.3482,                 1.5049,                 1.4347,                0.83518,                0.68852,                0.81994,                0.57912,                 1.2222,                 2.7503,                 1.2172,                0.00134,                0.00134,                0.00134
                      7,                 1.2607,                 1.2843,                 1.3719,                0.78352,                0.65271,                0.77487,                 0.5341,                 1.1818,                 1.1521,                 1.1724,               0.001208,               0.001208,               0.001208
                      8,                 1.2386,                 1.2282,                 1.3482,                0.89969,                0.73525,                0.83317,                0.56245,                 1.2658,                 1.4217,                  1.145,               0.001076,               0.001076,               0.001076
                      9,                  1.164,                 1.1749,                 1.2905,                0.88433,                0.72131,                0.85087,                0.63073,                 1.0419,                 1.1993,                  1.074,               0.000944,               0.000944,               0.000944
                     10,                 1.0934,                 1.0719,                 1.2485,                0.90114,                0.86885,                0.93372,                0.67173,                 1.0537,                0.84592,                 1.0884,               0.000812,               0.000812,               0.000812
                     11,                 1.0113,                0.94785,                 1.2004,                 0.9274,                0.83771,                0.91805,                0.73063,                0.83096,                0.74856,                0.92751,                0.00068,                0.00068,                0.00068
                     12,                0.91867,                  0.815,                   1.14,                0.92877,                0.91803,                0.96353,                0.75385,                0.88057,                0.63526,                0.92543,               0.000548,               0.000548,               0.000548
                     13,                0.89475,                0.75439,                 1.1386,                0.95003,                0.93494,                0.96223,                0.80852,                0.72765,                0.57747,                0.88554,               0.000416,               0.000416,               0.000416
                     14,                0.86059,                0.73674,                 1.1261,                0.98212,                0.90055,                0.96899,                0.79587,                0.71979,                0.54967,                0.89699,               0.000284,               0.000284,               0.000284
                     15,                0.80709,                0.71754,                 1.0984,                0.97302,                0.93443,                0.97559,                0.81103,                0.74836,                0.51248,                0.88842,               0.000152,               0.000152,               0.000152
